Source,Country,Trade Ratio,GDP Ratio
PRT,AUS,0.155779531306737,7.501998132095049
PRT,AUT,1.4188763552561243,1.6158371785296644
PRT,BEL,0.7987109999374573,2.190144530292951
PRT,BGR,2.0510142640259765,0.2741911850141002
PRT,BRA,1.8121193017963035,10.493108118920562
PRT,CAN,0.7822982920510335,7.1318273993776655
PRT,CHE,1.5904868348189498,3.1118867985648326
PRT,CHN,2.3662090383962506,80.71757206479936
PRT,CYP,0.3347384942254197,0.08295909563691789
PRT,CZE,0.9878505942754409,1.3075113725138114
PRT,DEU,1.5874578479146937,15.962626078812352
PRT,DNK,0.813884185649415,1.1261606717878887
PRT,ESP,1.8498817604387572,6.713115893289844
PRT,EST,0.7168498128886843,0.09259477071445188
PRT,FIN,0.5586104669587134,1.1877444234654664
PRT,FRA,0.8422769986469799,11.234481515710385
PRT,GBR,0.803165790107548,9.885407039857602
PRT,GRC,0.6873184289769555,0.8364900773372441
PRT,HRV,1.0947117418648433,0.21509242119444982
PRT,HUN,1.5931193723671364,0.476299105332451
PRT,IDN,1.587930436382707,3.9724450324723977
PRT,IND,4.5358691541136364,9.283551196176743
PRT,IRL,1.5887972233715235,0.6330079804018899
PRT,ITA,1.3321761240127454,11.387784296148922
PRT,JPN,2.6236076417940493,27.691119693122616
PRT,KOR,2.4866828910055356,8.144694885901112
PRT,LTU,4.264254956873569,0.1214312922590562
PRT,LUX,3.078284575101953,0.2787460852472312
PRT,LVA,0.4961995932164307,0.1399184802510854
PRT,MEX,1.0267526704225236,3.3983787519002253
PRT,MLT,0.8095762609774358,0.0374949293987365
PRT,NLD,1.5298868768993459,3.191165119270851
PRT,NOR,3.2618762376905885,1.5676717102374844
PRT,POL,0.8653008432399897,2.5887382039880253
PRT,PRT,1.0,1.0
PRT,ROU,0.6389855523637958,0.8690380209982985
PRT,RUS,2.3054548942859716,8.326219361797158
PRT,SVK,0.6336233048921017,0.47753448212360267
PRT,SVN,0.9993671422935769,0.20131460091427517
PRT,SWE,0.9071657787281554,2.1561397582153217
PRT,TUR,0.6347226253433615,3.3241658725472503
PRT,TWN,0.7333481402445166,2.659413797736914
PRT,USA,0.6310131758347486,62.05847190828556
