Id,Label,Weight
0,AUS,520016.4371938386
1,AUT,156758.31219392733
2,BEL,220743.7783722236
3,BGR,17973.521763117544
4,BRA,431684.761367917
5,CAN,610239.2891483981
6,CHE,270172.51634206023
7,CHN,2514681.979623481
8,CYP,7907.789747942146
9,CZE,102192.06939816463
10,DEU,1724711.7618011332
11,DNK,118734.50764038868
12,ESP,738874.5652476375
13,EST,7797.10296609096
14,FIN,125524.30348378088
15,FRA,1254056.7087751192
16,GBR,1314466.5890930968
17,GRC,114104.63844956786
18,HRV,20330.100971649303
19,HUN,56681.045078366995
20,IDN,211242.3850784023
21,IND,500572.0740013335
22,IRL,105757.27012708657
23,ITA,1328018.5550029671
24,JPN,3374901.311438856
25,KOR,626249.56901642
26,LTU,9911.277358523825
27,LUX,17392.00424064865
28,LVA,9163.085338915927
29,MEX,356548.64283902297
30,MLT,3176.547034960393
31,NLD,362140.5811133805
32,NOR,127484.74349504172
33,POL,170999.330654084
34,PRT,120820.19047059555
35,ROU,44484.24862191281
36,RUS,320574.1954610002
37,SVK,32933.05795075911
38,SVN,20452.103765581585
39,SWE,210143.7185938574
40,TUR,249469.7277355616
41,TWN,236514.915324053
42,USA,7916722.396196878
